,All,B,DC,Fibroblast,Gliacyte,Intestinal Epithelial,Lymphatic EC,Mast,Mono/Macro,Pericyte,Plasma,SMC,T,Tumor,Vascular EC
PREX1,0.0,0.0,0.0,0.041188000479250295,0.0,0.0,0.0,-0.011529905153519206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPEL1,0.0,0.0,0.0,-0.0008026058480760458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001236329620873439,0.0
AKAP8,0.0,0.0,0.0,-0.004395541365265583,0.0,0.0,0.0,0.0,0.0,0.0,-0.00494373214492581,0.0,0.0,0.0,0.0
HHLA3,0.0,0.0,0.0,-0.0011792556345302484,0.0,-0.0017596864388372691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATL2,0.0,0.0,0.0,-0.002906088668648344,0.0,0.0,0.0,0.0,-0.004584974280112736,0.0,0.0,0.0,0.0,0.0,-0.010368609841418061
OR13C3,0.0,0.0,0.0,-0.00023947789433405547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDH5A1,0.0,0.0,0.0,-0.0020065621427978984,0.0,0.0,0.0,0.0,-0.0011250192794901343,0.0,0.0,-0.0019301934869474853,0.0,0.0,0.0
DNAL4,0.0,0.0,0.0,-0.0023297520578340995,0.0,0.0,0.0,0.0,-0.0024059273667310236,0.0,-0.003987807755115004,0.0,0.0,0.0,0.0
AKAP5,0.0,0.0,0.0,-0.0012281282320289705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNB3,0.0,0.0,0.0,-0.0016916686588134917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFAIP8L3,0.0,0.0,0.0,0.06469135474714109,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006920644172298601,0.0,0.0,0.021331946217304495,0.0
MTHFD2L,0.0,0.0,0.0,-0.0017334209562284777,0.0,-0.003336615797177407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCG2,0.0,0.0,0.0,-0.0003989471264825358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTPA,0.0,0.0,0.0,-0.0006932001452770162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012575931592195382,0.0,0.0,0.0
SULT1C2,0.0,0.0,0.0,-0.0003758347141806314,0.0,0.0,-0.0036695336103811462,0.0,0.0,0.0,-0.00121337928462129,0.0,0.0,0.0,0.0
BCL11A,0.0,0.0,0.0,-0.0018684598862498993,-0.006839656814041878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024311052274610784
